Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Big Organization,M,37.14,,Servers for Small Businesses,
Big Organization,F,31.06,,Servers for Large Businesses,
Small organization,M,44.12,,Workstations for Professional Use,
Big Organization,M,50.52,,Laptop for Work,
Academic purpose,M,24.7,,Laptop for Home,
Big Organization,M,35.76,,Gaming Laptop,
Small Organization,F,44.35,,Desktops for Business,
Big Organization,M,24.85,,Servers for Small Businesses,
Big Organization,F,50.84,,Servers for Large Businesses,
Personal Use,F,50.05,,Workstations for Professional Use,
Personal Use,M,56.53,,Laptop for Work,
Big Organization,F,22.59,,Laptop for Home,
Personal Use,F,37.76,,Gaming Laptop,
Big Organization,M,36.81,,Desktops for Business,
Academic purpose,M,58.62,,Servers for Small Businesses,
Personal Use,M,40.44,,Servers for Large Businesses,
Big Organization,F,33.82,,Workstations for Professional Use,
Academic purpose,M,41.2,,Laptop for Work,
Personal Use,F,27.97,,Laptop for Home,
Small organization,F,30.62,,Gaming Laptop,
Big Organization,M,38,,Desktops for Business,
Academic purpose,M,54.13,,Servers for Small Businesses,
Small organization,M,38.85,,Servers for Large Businesses,
Gaming Purpose,F,37.36,,Workstations for Professional Use,
Big Organization,M,58.44,,Laptop for Work,
Small organization,F,31.77,,Laptop for Home,
Personal Use,F,47.88,,Gaming Laptop,
Small Organization,M,21.42,,Desktops for Business,
Gaming Purpose,M,53.91,,Servers for Small Businesses,
Small organization,F,32.09,,Servers for Large Businesses,
Small Organization,F,30.6,,Workstations for Professional Use,
Personal Use,M,35.58,,Laptop for Work,
Big Organization,F,31.32,,Laptop for Home,
Small Organization,M,39.29,,Gaming Laptop,
Academic purpose,F,39.93,,Desktops for Business,
Gaming Purpose,F,49.1,,Servers for Small Businesses,
Academic purpose,M,26.23,,Servers for Large Businesses,
Small organization,M,22.36,,Workstations for Professional Use,
Personal Use,F,30.67,,Laptop for Work,
Gaming Purpose,M,45.29,,Laptop for Home,
Gaming Purpose,F,44.32,,Gaming Laptop,
Small Organization,F,32.53,,Desktops for Business,
Gaming Purpose,M,35.04,,Servers for Small Businesses,
Big Organization,F,40.97,,Servers for Large Businesses,
Small Organization,M,41.94,,Workstations for Professional Use,
Gaming Purpose,F,27.82,,Laptop for Work,
Gaming Purpose,F,26.12,,Laptop for Home,
Personal Use,F,27.96,,Gaming Laptop,
Big Organization,M,23.56,,Desktops for Business,
Academic purpose,F,48.5,,Servers for Small Businesses,
Small Organization,F,54.39,,Servers for Large Businesses,
Gaming Purpose,F,31.61,,Workstations for Professional Use,
Academic purpose,F,22.29,,Laptop for Work,
Big Organization,F,41.62,,Laptop for Home,
Small organization,M,33.23,,Gaming Laptop,
Personal Use,F,52.3,,Desktops for Business,
Gaming Purpose,M,41.39,,Servers for Small Businesses,
Big Organization,F,36.48,,Servers for Large Businesses,
Big Organization,F,31.4,,Workstations for Professional Use,
Personal Use,M,45.87,,Laptop for Work,
Gaming Purpose,F,34.76,,Laptop for Home,
Gaming Purpose,M,47.15,,Gaming Laptop,
Small Organization,F,58.57,,Desktops for Business,
Small Organization,M,21.25,,Servers for Small Businesses,
Gaming Purpose,F,43.44,,Servers for Large Businesses,
Small organization,F,52.98,,Workstations for Professional Use,
Big Organization,M,45.76,,Laptop for Work,
Academic purpose,M,59.83,,Laptop for Home,
Big Organization,F,59.1,,Gaming Laptop,
Big Organization,F,57.06,,Desktops for Business,
Academic purpose,F,59.92,,Servers for Small Businesses,
Personal Use,F,23.03,,Servers for Large Businesses,
Big Organization,M,43.56,,Workstations for Professional Use,
Small organization,M,27.77,,Laptop for Work,
Gaming Purpose,F,50.38,,Laptop for Home,
Academic purpose,F,39.8,,Gaming Laptop,
Big Organization,M,26.28,,Desktops for Business,
Academic purpose,M,35.24,,Servers for Small Businesses,
Big Organization,F,24.35,,Servers for Large Businesses,
Big Organization,M,58.1,,Workstations for Professional Use,
Small organization,M,45.87,,Laptop for Work,
Big Organization,M,36.87,,Laptop for Home,
Personal Use,M,27.44,,Gaming Laptop,
Small organization,M,59.39,,Desktops for Business,
Personal Use,F,52.55,,Servers for Small Businesses,
Small Organization,M,52.84,,Servers for Large Businesses,
Big Organization,F,46.16,,Workstations for Professional Use,
Gaming Purpose,F,39.16,,Laptop for Work,
Small Organization,M,44.72,,Laptop for Home,
Small Organization,F,29.56,,Gaming Laptop,
Academic purpose,F,27.38,,Desktops for Business,
Small Organization,M,26.41,,Servers for Small Businesses,
Big Organization,M,49.4,,Servers for Large Businesses,
Academic purpose,F,54.25,,Workstations for Professional Use,
Small organization,M,53.89,,Laptop for Work,
Academic purpose,F,25.16,,Laptop for Home,
Small organization,M,24.74,,Gaming Laptop,
Small Organization,F,23.35,,Desktops for Business,
Small organization,F,51.86,,Servers for Small Businesses,
Personal Use,M,33.95,,Servers for Large Businesses,
Academic purpose,F,35.56,,Workstations for Professional Use,
Small organization,M,52.11,,Laptop for Work,
Small organization,M,44.34,,Laptop for Home,
Big Organization,M,26.33,,Gaming Laptop,
Personal Use,F,38.79,,Desktops for Business,
Big Organization,M,26.02,,Servers for Small Businesses,
Personal Use,F,53.8,,Servers for Large Businesses,
Big Organization,M,48.35,,Workstations for Professional Use,
Personal Use,M,59.03,,Laptop for Work,
Big Organization,F,49.33,,Laptop for Home,
Big Organization,M,43.58,,Gaming Laptop,
Big Organization,F,43.1,,Desktops for Business,
Big Organization,F,51.98,,Servers for Small Businesses,
Small organization,M,35.57,,Servers for Large Businesses,
Small organization,M,54.39,,Workstations for Professional Use,
Small Organization,M,26.18,,Laptop for Work,
Big Organization,M,41.03,,Laptop for Home,
Personal Use,F,39.04,,Gaming Laptop,
Big Organization,M,28.88,,Desktops for Business,
Small organization,M,27.2,,Servers for Small Businesses,
Big Organization,F,58.68,,Servers for Large Businesses,
Small Organization,F,40.28,,Workstations for Professional Use,
Small Organization,F,26.06,,Laptop for Work,
Big Organization,M,31.28,,Laptop for Home,
Personal Use,M,49.07,,Gaming Laptop,
Academic purpose,F,43.64,,Desktops for Business,
Big Organization,F,45.82,,Servers for Small Businesses,
Personal Use,M,37.57,,Servers for Large Businesses,
Big Organization,M,43.49,,Workstations for Professional Use,
Small Organization,M,57.68,,Laptop for Work,
Personal Use,M,48.47,,Laptop for Home,
Big Organization,F,39.73,,Gaming Laptop,
Gaming Purpose,M,23.87,,Desktops for Business,
Big Organization,M,36.77,,Servers for Small Businesses,
Academic purpose,F,52.19,,Servers for Large Businesses,
Big Organization,F,45.43,,Workstations for Professional Use,
Small Organization,M,59.28,,Laptop for Work,
Big Organization,M,56.52,,Laptop for Home,
Gaming Purpose,M,35.55,,Gaming Laptop,
Small Organization,F,56.86,,Desktops for Business,
Academic purpose,F,52.43,,Servers for Small Businesses,
Big Organization,M,21.33,,Servers for Large Businesses,
Small Organization,F,35.03,,Workstations for Professional Use,
Big Organization,M,51.23,,Laptop for Work,
Small organization,F,32.16,,Laptop for Home,
Small Organization,M,34.84,,Gaming Laptop,
Big Organization,F,47.48,,Desktops for Business,
Personal Use,F,39.25,,Servers for Small Businesses,
Personal Use,F,55.98,,Servers for Large Businesses,
Personal Use,F,29.46,,Workstations for Professional Use,
Big Organization,M,49.66,,Laptop for Work,
Small organization,F,45.67,,Laptop for Home,
Small Organization,F,34.51,,Gaming Laptop,
Small Organization,F,58.89,,Desktops for Business,
Personal Use,M,56.69,,Servers for Small Businesses,
Big Organization,F,50.74,,Servers for Large Businesses,
Gaming Purpose,M,24.01,,Workstations for Professional Use,
Academic purpose,F,44.56,,Laptop for Work,
Small Organization,F,24.61,,Laptop for Home,
Small organization,F,48.72,,Gaming Laptop,
Academic purpose,M,50.92,,Desktops for Business,
Small organization,F,29.2,,Servers for Small Businesses,
Small Organization,F,25.85,,Servers for Large Businesses,
Small organization,M,28.41,,Workstations for Professional Use,
Big Organization,F,53.27,,Laptop for Work,
Academic purpose,F,40.27,,Laptop for Home,
Small organization,F,34.7,,Gaming Laptop,
Academic purpose,M,31.59,,Desktops for Business,
Gaming Purpose,F,56.27,,Servers for Small Businesses,
Personal Use,M,31.54,,Servers for Large Businesses,
Big Organization,M,24.88,,Workstations for Professional Use,
Small Organization,M,55.58,,Laptop for Work,
Small Organization,F,35.74,,Laptop for Home,
Gaming Purpose,M,58.5,,Gaming Laptop,
Small Organization,F,27.98,,Desktops for Business,
Personal Use,M,33.72,,Servers for Small Businesses,
Small Organization,F,54.66,,Servers for Large Businesses,
Small Organization,F,24.92,,Workstations for Professional Use,
Academic purpose,M,35.97,,Laptop for Work,
Personal Use,M,49.85,,Laptop for Home,
Big Organization,M,48.65,,Gaming Laptop,
Small Organization,M,53.36,,Desktops for Business,
Big Organization,F,59.73,,Servers for Small Businesses,
Small Organization,M,45.83,,Servers for Large Businesses,
Small organization,M,40.46,,Workstations for Professional Use,
Personal Use,M,36.62,,Laptop for Work,
Personal Use,M,31.53,,Laptop for Home,
Gaming Purpose,M,36.04,,Gaming Laptop,
Personal Use,M,42.5,,Desktops for Business,
Academic purpose,F,47.28,,Servers for Small Businesses,
Personal Use,F,58.52,,Servers for Large Businesses,
Small organization,M,48.87,,Workstations for Professional Use,
Personal Use,F,37.29,,Laptop for Work,
Big Organization,F,45.17,,Laptop for Home,
Small Organization,M,52.25,,Gaming Laptop,
Small Organization,M,29.23,,Desktops for Business,
Small Organization,F,36.02,,Servers for Small Businesses,
Personal Use,M,52.89,,Servers for Large Businesses,
Small Organization,F,21.14,,Workstations for Professional Use,
Big Organization,F,53.05,,Laptop for Work,
Personal Use,M,59.01,,Laptop for Home,
Big Organization,F,58.31,,Gaming Laptop,
Gaming Purpose,M,51.04,,Desktops for Business,
Big Organization,M,34.76,,Servers for Small Businesses,
Personal Use,M,38.2,,Servers for Large Businesses,
Small Organization,F,34.08,,Workstations for Professional Use,
Gaming Purpose,F,51.65,,Laptop for Work,
Gaming Purpose,F,58.83,,Laptop for Home,
Big Organization,M,31.72,,Gaming Laptop,
Big Organization,F,35.08,,Desktops for Business,
Small Organization,M,49.09,,Servers for Small Businesses,
Small Organization,M,48.22,,Servers for Large Businesses,
Academic purpose,F,48.29,,Workstations for Professional Use,
Small Organization,M,22.99,,Laptop for Work,
Big Organization,M,49.35,,Laptop for Home,
Gaming Purpose,F,56.91,,Gaming Laptop,
Small Organization,F,27.79,,Desktops for Business,
Personal Use,M,41.75,,Servers for Small Businesses,
Small Organization,F,57.82,,Servers for Large Businesses,
Gaming Purpose,M,55.42,,Workstations for Professional Use,
Gaming Purpose,F,55.76,,Laptop for Work,
Big Organization,M,42.04,,Laptop for Home,
Personal Use,M,59.78,,Gaming Laptop,
Gaming Purpose,F,28.25,,Desktops for Business,
Small Organization,F,31.85,,Servers for Small Businesses,
Big Organization,F,56.83,,Servers for Large Businesses,
Personal Use,F,39.91,,Workstations for Professional Use,
Small organization,F,32.45,,Laptop for Work,
Big Organization,M,40.36,,Laptop for Home,
Gaming Purpose,F,25.85,,Gaming Laptop,
Big Organization,M,40.76,,Desktops for Business,
Personal Use,M,22.07,,Servers for Small Businesses,
Gaming Purpose,M,57.74,,Servers for Large Businesses,
Academic purpose,M,49.09,,Workstations for Professional Use,
Big Organization,M,26.28,,Laptop for Work,
Small organization,M,23.66,,Laptop for Home,
Gaming Purpose,F,50.08,,Gaming Laptop,
Personal Use,F,55.32,,Desktops for Business,
Personal Use,F,57.32,,Servers for Small Businesses,
Academic purpose,F,38.81,,Servers for Large Businesses,
Big Organization,M,31.59,,Workstations for Professional Use,
Academic purpose,F,55.56,,Laptop for Work,
Gaming Purpose,F,38.1,,Laptop for Home,
Academic purpose,M,24.61,,Gaming Laptop,
Big Organization,M,45.15,,Desktops for Business,
Big Organization,F,45.6,,Servers for Small Businesses,
Small organization,F,47.77,,Servers for Large Businesses,
Academic purpose,F,30.18,,Workstations for Professional Use,
Small organization,F,25.75,,Laptop for Work,
Academic purpose,F,25.5,,Laptop for Home,
Big Organization,M,47.82,,Gaming Laptop,
Personal Use,F,21.14,,Desktops for Business,
Big Organization,M,54.06,,Servers for Small Businesses,
Big Organization,M,58.09,,Servers for Large Businesses,
Small organization,F,57.66,,Workstations for Professional Use,
Small organization,M,55.14,,Laptop for Work,
Small Organization,M,24.84,,Laptop for Home,
Personal Use,M,54.44,,Gaming Laptop,
Personal Use,M,57.09,,Desktops for Business,
Big Organization,M,28.33,,Servers for Small Businesses,
Small Organization,F,56.55,,Servers for Large Businesses,
Big Organization,F,27.41,,Workstations for Professional Use,
Personal Use,F,44.79,,Laptop for Work,
Big Organization,M,45.89,,Laptop for Home,
Small organization,M,42.73,,Gaming Laptop,
Personal Use,F,33.13,,Desktops for Business,
Big Organization,F,57.85,,Servers for Small Businesses,
Big Organization,F,51.52,,Servers for Large Businesses,
Big Organization,F,22.61,,Workstations for Professional Use,
Small organization,M,34.48,,Laptop for Work,
Academic purpose,M,35.21,,Laptop for Home,
Academic purpose,F,41.9,,Gaming Laptop,
Big Organization,M,44.53,,Desktops for Business,
Small Organization,M,37.61,,Servers for Small Businesses,
Small Organization,F,32.26,,Servers for Large Businesses,
Personal Use,F,47.28,,Workstations for Professional Use,
Personal Use,F,29.47,,Laptop for Work,
Academic purpose,F,33.44,,Laptop for Home,
Small Organization,F,45.23,,Gaming Laptop,
Personal Use,M,33.87,,Desktops for Business,
Small organization,M,24.59,,Servers for Small Businesses,
Small Organization,F,56.15,,Servers for Large Businesses,
Small Organization,F,30.77,,Workstations for Professional Use,
Small organization,M,40.44,,Laptop for Work,
Academic purpose,F,27.64,,Laptop for Home,
Personal Use,F,46.67,,Gaming Laptop,
Personal Use,F,42.39,,Desktops for Business,
Gaming Purpose,M,41.76,,Servers for Small Businesses,
Small Organization,F,45.53,,Servers for Large Businesses,
Small Organization,M,28.24,,Workstations for Professional Use,
Gaming Purpose,M,55.04,,Laptop for Work,
Personal Use,M,46.1,,Laptop for Home,
Personal Use,M,35.83,,Gaming Laptop,
Gaming Purpose,M,47.83,,Desktops for Business,
Small Organization,F,23.5,,Servers for Small Businesses,
Personal Use,F,36.77,,Servers for Large Businesses,
Big Organization,M,43.22,,Workstations for Professional Use,
Big Organization,F,39.68,,Laptop for Work,
Gaming Purpose,F,57.99,,Laptop for Home,
Gaming Purpose,M,30.58,,Gaming Laptop,
Academic purpose,M,24.04,,Desktops for Business,
Small Organization,M,39.81,,Servers for Small Businesses,
Academic purpose,M,53.6,,Servers for Large Businesses,
Small Organization,F,58.37,,Workstations for Professional Use,
Big Organization,M,21.77,,Laptop for Work,
Personal Use,M,49.48,,Laptop for Home,
Gaming Purpose,M,21.81,,Gaming Laptop,
Small Organization,F,28.47,,Desktops for Business,
Academic purpose,M,30.52,,Servers for Small Businesses,
Gaming Purpose,F,54.75,,Servers for Large Businesses,
Big Organization,M,31.99,,Workstations for Professional Use,
Small Organization,M,58.25,,Laptop for Work,
Small Organization,M,53.55,,Laptop for Home,
Academic purpose,M,45.92,,Gaming Laptop,
Academic purpose,F,35.92,,Desktops for Business,
Big Organization,M,25.59,,Servers for Small Businesses,
Personal Use,M,44.75,,Servers for Large Businesses,
Small organization,M,37.05,,Workstations for Professional Use,
Personal Use,F,43.24,,Laptop for Work,
Small organization,F,56.38,,Laptop for Home,
Small organization,M,45.16,,Gaming Laptop,
Small Organization,M,46.5,,Desktops for Business,
Small organization,F,23.99,,Servers for Small Businesses,
Gaming Purpose,M,37.02,,Servers for Large Businesses,
Small Organization,F,46.46,,Workstations for Professional Use,
Small Organization,M,38.35,,Laptop for Work,
Big Organization,F,45.13,,Laptop for Home,
Small Organization,F,23.96,,Gaming Laptop,
Gaming Purpose,F,49.47,,Desktops for Business,
Small organization,F,58.99,,Servers for Small Businesses,
Personal Use,F,55.96,,Servers for Large Businesses,
Gaming Purpose,F,29.11,,Workstations for Professional Use,
Personal Use,M,44.64,,Laptop for Work,
Personal Use,M,22.55,,Laptop for Home,
Personal Use,M,24.72,,Gaming Laptop,
Academic purpose,F,39.45,,Desktops for Business,
Big Organization,M,31.59,,Servers for Small Businesses,
Big Organization,M,42.43,,Servers for Large Businesses,
Gaming Purpose,M,36,,Workstations for Professional Use,
Gaming Purpose,F,36.43,,Laptop for Work,
Academic purpose,M,38.54,,Laptop for Home,
Big Organization,F,21.79,,Gaming Laptop,
Small Organization,F,37.31,,Desktops for Business,
Academic purpose,F,54.56,,Servers for Small Businesses,
Small organization,M,24.88,,Servers for Large Businesses,
Academic purpose,F,24.07,,Workstations for Professional Use,
Big Organization,M,53.53,,Laptop for Work,
Small organization,F,44.82,,Laptop for Home,
Small organization,F,56.64,,Gaming Laptop,
Small organization,F,58.47,,Desktops for Business,
Small Organization,M,50.45,,Servers for Small Businesses,
Gaming Purpose,F,50.24,,Servers for Large Businesses,
Big Organization,F,52.97,,Workstations for Professional Use,
Gaming Purpose,F,21.44,,Laptop for Work,
Personal Use,M,32.22,,Laptop for Home,
Personal Use,M,30.35,,Gaming Laptop,
Big Organization,F,39.68,,Desktops for Business,
Big Organization,F,28.22,,Servers for Small Businesses,
Big Organization,M,21.93,,Servers for Large Businesses,
Small Organization,F,36.7,,Workstations for Professional Use,
Gaming Purpose,M,51.71,,Laptop for Work,
Personal Use,M,42.31,,Laptop for Home,
Gaming Purpose,F,42.02,,Gaming Laptop,
Gaming Purpose,M,37.36,,Desktops for Business,
Big Organization,M,35.64,,Servers for Small Businesses,
Big Organization,M,50.96,,Servers for Large Businesses,
Big Organization,M,55.82,,Workstations for Professional Use,
Gaming Purpose,F,53.4,,Laptop for Work,
Academic purpose,F,25.21,,Laptop for Home,
Big Organization,M,45.7,,Gaming Laptop,
Big Organization,F,26.08,,Desktops for Business,
Personal Use,M,22.42,,Servers for Small Businesses,
Personal Use,F,43.78,,Servers for Large Businesses,
Big Organization,F,41.81,,Workstations for Professional Use,
Academic purpose,M,51.42,,Laptop for Work,
Big Organization,M,52.04,,Laptop for Home,
Gaming Purpose,F,45.84,,Gaming Laptop,
Small Organization,M,58.87,,Desktops for Business,
Personal Use,F,34.84,,Servers for Small Businesses,
Big Organization,M,49.39,,Servers for Large Businesses,
Personal Use,F,53.56,,Workstations for Professional Use,
Personal Use,M,23.18,,Laptop for Work,
Academic purpose,F,54.26,,Laptop for Home,
Personal Use,F,52.59,,Gaming Laptop,
Big Organization,M,59.22,,Desktops for Business,
Big Organization,F,21.34,,Servers for Small Businesses,
Small Organization,F,30.97,,Servers for Large Businesses,
Small organization,F,55.32,,Workstations for Professional Use,
Gaming Purpose,F,44.74,,Laptop for Work,
Academic purpose,F,46.7,,Laptop for Home,
Personal Use,F,22.16,,Gaming Laptop,
Big Organization,F,26.25,,Desktops for Business,
Gaming Purpose,F,40.2,,Servers for Small Businesses,
Personal Use,M,57.89,,Servers for Large Businesses,
Small organization,M,45.4,,Workstations for Professional Use,
Gaming Purpose,M,45.56,,Laptop for Work,
Small Organization,F,26.3,,Laptop for Home,
Personal Use,M,37.28,,Gaming Laptop,
Small Organization,F,59.16,,Desktops for Business,
Big Organization,M,51.47,,Servers for Small Businesses,
Small Organization,M,31.9,,Servers for Large Businesses,
Big Organization,M,49.53,,Workstations for Professional Use,
Small Organization,M,21.3,,Laptop for Work,
Big Organization,M,54.69,,Laptop for Home,
Small organization,M,36.48,,Gaming Laptop,
Big Organization,M,27.05,,Desktops for Business,
Small Organization,M,25.57,,Servers for Small Businesses,
Small Organization,F,40.96,,Servers for Large Businesses,
Academic purpose,F,28.68,,Workstations for Professional Use,
Big Organization,M,23.54,,Laptop for Work,
Small organization,M,48.11,,Laptop for Home,
Gaming Purpose,M,29.54,,Gaming Laptop,
Big Organization,F,25.77,,Desktops for Business,
Big Organization,F,38.42,,Servers for Small Businesses,
Gaming Purpose,F,44.94,,Servers for Large Businesses,
Gaming Purpose,F,53.69,,Workstations for Professional Use,
Gaming Purpose,F,54.16,,Laptop for Work,
Big Organization,F,36.43,,Laptop for Home,
Academic purpose,M,49.48,,Gaming Laptop,
Big Organization,M,24.19,,Desktops for Business,
Big Organization,M,51.9,,Servers for Small Businesses,
Small organization,F,45.03,,Servers for Large Businesses,
Academic purpose,F,36.06,,Workstations for Professional Use,
Big Organization,F,21.85,,Laptop for Work,
Small Organization,M,44.2,,Laptop for Home,
Small organization,M,56.97,,Gaming Laptop,
Small Organization,M,56.36,,Desktops for Business,
Small organization,F,43.98,,Servers for Small Businesses,
Academic purpose,F,45.87,,Servers for Large Businesses,
Small Organization,M,49.77,,Workstations for Professional Use,
Personal Use,F,24.99,,Laptop for Work,
Big Organization,M,23.9,,Laptop for Home,
Gaming Purpose,F,41.9,,Gaming Laptop,
Gaming Purpose,M,44.19,,Desktops for Business,
Big Organization,M,50.92,,Servers for Small Businesses,
Big Organization,M,45.48,,Servers for Large Businesses,
Big Organization,M,45.91,,Workstations for Professional Use,
Gaming Purpose,M,45.78,,Laptop for Work,
Big Organization,F,28.03,,Laptop for Home,
Big Organization,M,50.56,,Gaming Laptop,
Big Organization,M,41.65,,Desktops for Business,
Academic purpose,M,25.35,,Servers for Small Businesses,
Gaming Purpose,M,44.58,,Servers for Large Businesses,
Gaming Purpose,M,53.53,,Workstations for Professional Use,
Personal Use,F,41.51,,Laptop for Work,
Small Organization,M,55.46,,Laptop for Home,
Gaming Purpose,F,51.73,,Gaming Laptop,
Gaming Purpose,F,43.78,,Desktops for Business,
Personal Use,M,28.04,,Servers for Small Businesses,
Gaming Purpose,M,56.97,,Servers for Large Businesses,
Small Organization,F,39.01,,Workstations for Professional Use,
Big Organization,F,44.21,,Laptop for Work,
Academic purpose,M,51.41,,Laptop for Home,
Big Organization,F,52.46,,Gaming Laptop,
Big Organization,F,53.88,,Desktops for Business,
Gaming Purpose,M,52.76,,Servers for Small Businesses,
Small Organization,F,53.94,,Servers for Large Businesses,
Small Organization,F,29.82,,Workstations for Professional Use,
Academic purpose,M,26.15,,Laptop for Work,
Academic purpose,F,22.85,,Laptop for Home,
Big Organization,M,45.59,,Gaming Laptop,
Personal Use,M,39.67,,Desktops for Business,
Big Organization,M,21.55,,Servers for Small Businesses,
Big Organization,F,38.96,,Servers for Large Businesses,
Gaming Purpose,M,45.47,,Workstations for Professional Use,
Big Organization,M,58.92,,Laptop for Work,
Small organization,F,27.18,,Laptop for Home,
Big Organization,F,24.04,,Gaming Laptop,
Big Organization,F,23.3,,Desktops for Business,
Academic purpose,M,49.23,,Servers for Small Businesses,
Academic purpose,M,49.03,,Servers for Large Businesses,
Small organization,M,32.09,,Workstations for Professional Use,
Big Organization,F,35.99,,Laptop for Work,
Big Organization,M,54.54,,Laptop for Home,
Gaming Purpose,F,53.5,,Gaming Laptop,
Small Organization,M,33.61,,Desktops for Business,
Gaming Purpose,M,52.03,,Servers for Small Businesses,
Big Organization,M,25.54,,Servers for Large Businesses,
Academic purpose,M,25.87,,Workstations for Professional Use,
Small Organization,F,52.11,,Laptop for Work,
Personal Use,M,49.11,,Laptop for Home,
Gaming Purpose,F,34.2,,Gaming Laptop,
Big Organization,M,28.81,,Desktops for Business,
Academic purpose,M,27.63,,Servers for Small Businesses,
Big Organization,F,33.51,,Servers for Large Businesses,
Big Organization,F,59.25,,Workstations for Professional Use,
Personal Use,M,26.88,,Laptop for Work,
Small Organization,M,31.22,,Laptop for Home,
Big Organization,F,59.69,,Gaming Laptop,
Academic purpose,F,44.67,,Desktops for Business,
Small organization,M,23.02,,Servers for Small Businesses,
Big Organization,M,50.45,,Servers for Large Businesses,
Small organization,F,54.73,,Workstations for Professional Use,
Gaming Purpose,F,36.24,,Laptop for Work,
Big Organization,F,39.1,,Laptop for Home,
Small Organization,M,47.88,,Gaming Laptop,
Big Organization,M,32.85,,Desktops for Business,
Big Organization,M,44.97,,Servers for Small Businesses,
Big Organization,M,57.32,,Servers for Large Businesses,
Gaming Purpose,M,58.63,,Workstations for Professional Use,
Small Organization,F,36.92,,Laptop for Work,
Small organization,F,27.66,,Laptop for Home,
Small Organization,F,39.83,,Gaming Laptop,
Academic purpose,F,53.8,,Desktops for Business,
Small organization,M,40.95,,Servers for Small Businesses,
Small Organization,F,23.36,,Servers for Large Businesses,
Personal Use,M,26.13,,Workstations for Professional Use,
Small organization,F,38.02,,Laptop for Work,
Gaming Purpose,F,47.59,,Laptop for Home,
Big Organization,F,55.91,,Gaming Laptop,
Personal Use,F,35.63,,Desktops for Business,
Personal Use,M,29.93,,Servers for Small Businesses,
Academic purpose,F,29.61,,Servers for Large Businesses,
Small Organization,F,36.38,,Workstations for Professional Use,
Personal Use,F,48.12,,Laptop for Work,
Big Organization,F,42.7,,Laptop for Home,
Big Organization,F,27.45,,Gaming Laptop,
Gaming Purpose,F,55.63,,Desktops for Business,
Big Organization,F,23.29,,Servers for Small Businesses,
Gaming Purpose,F,25.49,,Servers for Large Businesses,
Academic purpose,F,51.69,,Workstations for Professional Use,
Big Organization,M,52.78,,Laptop for Work,
Personal Use,F,37.22,,Laptop for Home,
Small Organization,M,39,,Gaming Laptop,
Big Organization,F,24.52,,Desktops for Business,
Gaming Purpose,F,29.72,,Servers for Small Businesses,
Personal Use,M,28.88,,Servers for Large Businesses,
Academic purpose,F,40.93,,Workstations for Professional Use,
Personal Use,M,33.29,,Laptop for Work,
Academic purpose,F,31.59,,Laptop for Home,
Gaming Purpose,M,53.61,,Gaming Laptop,
Academic purpose,M,22.49,,Desktops for Business,
Big Organization,F,38.01,,Servers for Small Businesses,
Gaming Purpose,M,49.32,,Servers for Large Businesses,
Small organization,M,29.68,,Workstations for Professional Use,
Small organization,F,27.94,,Laptop for Work,
Gaming Purpose,M,46.79,,Laptop for Home,
Personal Use,M,39.07,,Gaming Laptop,
Gaming Purpose,F,30.71,,Desktops for Business,
Academic purpose,M,57.02,,Servers for Small Businesses,
Gaming Purpose,M,57.42,,Servers for Large Businesses,
Small organization,F,58.82,,Workstations for Professional Use,
Small Organization,F,32.25,,Laptop for Work,
Gaming Purpose,M,45.51,,Laptop for Home,
Small Organization,M,37.8,,Gaming Laptop,
Personal Use,M,53.76,,Desktops for Business,
Small Organization,F,48.2,,Servers for Small Businesses,
Personal Use,M,40.67,,Servers for Large Businesses,
Gaming Purpose,F,23.49,,Workstations for Professional Use,
Small organization,F,31.87,,Laptop for Work,
Personal Use,F,33.39,,Laptop for Home,
Personal Use,F,25.82,,Gaming Laptop,
Gaming Purpose,F,59.19,,Desktops for Business,
Gaming Purpose,F,44.4,,Servers for Small Businesses,
Small organization,F,59,,Servers for Large Businesses,
Gaming Purpose,M,56.76,,Workstations for Professional Use,
Gaming Purpose,M,23.21,,Laptop for Work,
Big Organization,F,49.36,,Laptop for Home,
Personal Use,F,59.15,,Gaming Laptop,
Small Organization,M,47.33,,Desktops for Business,
Personal Use,M,37.05,,Servers for Small Businesses,
Small organization,M,48.03,,Servers for Large Businesses,
Gaming Purpose,F,45.29,,Workstations for Professional Use,
Small Organization,F,22.88,,Laptop for Work,
Personal Use,M,55.82,,Laptop for Home,
Small organization,F,26.45,,Gaming Laptop,
Small organization,M,47.82,,Desktops for Business,
Academic purpose,M,22.76,,Servers for Small Businesses,
Small organization,M,43.76,,Servers for Large Businesses,
Big Organization,F,52.92,,Workstations for Professional Use,
Big Organization,F,57.5,,Laptop for Work,
Small Organization,M,41.86,,Laptop for Home,
Big Organization,F,32.79,,Gaming Laptop,
Big Organization,F,24.52,,Desktops for Business,
Big Organization,F,44.98,,Servers for Small Businesses,
Gaming Purpose,F,50.07,,Servers for Large Businesses,
Academic purpose,F,24.93,,Workstations for Professional Use,
Small Organization,F,37.58,,Laptop for Work,
Personal Use,M,58.3,,Laptop for Home,
Academic purpose,F,50.79,,Gaming Laptop,
Small Organization,M,50.88,,Desktops for Business,
Big Organization,M,56.21,,Servers for Small Businesses,
Academic purpose,F,47.4,,Servers for Large Businesses,
Small organization,M,22.45,,Workstations for Professional Use,
